Jenjang,Mata Pelajaran,Materi,Sub Materi,Link
7,Matematika,Bilangan Bulat dan Pecahan,Pecahan,https://youtu.be/IRDF-w42G14?si=cX8XZcAhx7DKzvZD
7,Matematika,Bilangan Bulat dan Pecahan,Bilangan Bulat,https://youtu.be/Ke0hDBMEbTc?si=Dz0q-8XBwIhlMgCq
7,Matematika,Himpunan,Himpunan,https://youtu.be/BDntwaTzSlE?si=XWP8cKpU4v6NMY5K
7,Matematika,Aljabar,Aljabar,https://youtu.be/NjBkgXBdN6o?si=Oerba6gr2FRmcbc5
7,Matematika,Persamaan Linear Satu Variabel (PLSV),Persamaan Linear Satu Variabel (PLSV),https://youtu.be/7H_EhKcK2G4?si=9JxiUdbpl1eWwj_2
7,Matematika,Perbandingan,Perbandingan,https://youtu.be/NhOZd0Pu18s?si=cBJCbnxMMlK4terc
7,Matematika,Garis dan Sudut,Garis dan Sudut,https://youtu.be/Od5xUi-L2R0?si=eb_N0k9dMFPLTEnt
7,Matematika,Segitiga dan Segiempat,Segitiga dan Segiempat,https://youtu.be/1sW_W3MsAJ0?si=iVJjW0xc3F1nFLS1
7,Matematika,Statistika,Statistika,https://youtu.be/xu0K42dsELI?si=FIdGWQ5hQSssQ-DS
7,Matematika,Peluang Sederhana,Peluang Sederhana,https://youtu.be/oLdJ0GoD-xU?si=SNk14dGmyLDm6DV5
8,Matematika,Bilangan Berpangkat,Bilangan Berpangkat,https://app.ruangguru.com/ruangbelajar/v/sifat-bilangan-berpangkat-i-subtopi-yn9yejly-hr-smp-kelas-8-kurikulum-merdeka
8,Matematika,Teorema Pythagoras,Teorema Pythagoras,https://youtu.be/6nPsK8H3o64?si=IK9ZPVIJZc_tGpzl
8,Matematika,Persamaan dan Pertidaksamaan Linier Satu Variabel,Persamaan dan Pertidaksamaan Linier Satu Variabel,https://youtu.be/SpZ4wOpPAtw?si=ozRX-gL_U36OY6Zl
8,Matematika,Relasi dan Fungsi,Relasi dan Fungsi,https://youtu.be/IpcKHC2YxRU?si=CFp8uNlcRLMDJUDy
8,Matematika,Persamaan Garis Lurus,Persamaan Garis Lurus,https://youtu.be/dtE2WI0H0og?si=TtR1qsf-6mkRVp87
8,Matematika,Statistika,Statistika,https://youtu.be/vm7XZUZJ-rM?si=YwTe52WXeMhrFSe5
9,Matematika,Bilangan Berpangkat dan Bentuk Akar,Sifat Bilangan Berpangkat,https://app.ruangguru.com/ruangbelajar/v/sifat-bilangan-berpangkat-i-subtopi-oh2ktlu4-hr-smp-kelas-9
9,Matematika,Bilangan Berpangkat dan Bentuk Akar,Bilangan Berpangkat Dipangkatkan,https://app.ruangguru.com/ruangbelajar/v/bilangan-berpangkat-dipangkatkan-subtopi-t24rla3m-hr-smp-kelas-9
9,Matematika,Bilangan Berpangkat dan Bentuk Akar,Bentuk Akar dan Operasinya,https://youtu.be/ppG68dYj_fM?si=-PZqkFvx8J5T20T0
9,Matematika,Persamaan dan Pertidaksamaan Linear Dua Variabel (SPLDV),Persamaan dan Pertidaksamaan Linear Dua Variabel (SPLDV),https://app.ruangguru.com/ruangbelajar/v/penerapan-spldv-subtopi-8mbmg7xh-hr-smp-kelas-9
9,Matematika,Fungsi dan Grafik Fungsi,Fungsi dan Grafik Fungsi,https://youtu.be/IpcKHC2YxRU?si=vgJk_POIPj0BjMTr
9,Matematika,Teorema Pythagoras dan Penerapannya,Teorema Pythagoras dan Penerapannya,https://youtu.be/6nPsK8H3o64?si=NuwFZSdNJlDHIlue
9,Matematika,Bangun Ruang Sisi Lengkung,Bangun Ruang Sisi Lengkung,https://youtu.be/auE8Rz4ecJE?si=XyBNvMDI4PuxOj7y
9,Matematika,Statistika dan Peluang,Statistika dan Peluang,https://youtu.be/Nn3jqpVvKhY?si=iVkTdTZzdNOMqXXX
9,Matematika,Transformasi Geometri,Transformasi Geometri,https://youtu.be/LHmAPoyi9K0?si=JNPUKvRroDAlCjKf
9,Matematika,Transformasi Geometri,Transformasi Geometri,https://youtu.be/jLuWoxf0TXk?si=lLBL3-zjz0aW9-cr
9,Matematika,Lingkaran,Lingkaran,https://youtu.be/pqKpyEvaB5k?si=Tx7Tk5JG42E_kwsj
9,Matematika,Kesebangunan dan Kekongruenan,Kesebangunan dan Kekongruenan,https://youtu.be/RdEXHsf3C-s?si=zU4asfUgmHLlgIJL
9,Matematika,Barisan dan Deret,Barisan dan Deret,https://youtu.be/IpcKHC2YxRU?si=kBc2gaBNPyFZaXmt
7,IPA,Objek IPA dan Pengamatannya,Pengertian IPA,https://www.youtube.com/watch?v=deG_BJXsTW0
7,IPA,Objek IPA dan Pengamatannya,Objek yang Dipelajari dalam IPA,https://www.youtube.com/watch?v=o1VCKOBUxRE
7,IPA,Objek IPA dan Pengamatannya,Prosedur Ilmiah,https://www.youtube.com/watch?v=iRnAGOSRrXY
7,IPA,Objek IPA dan Pengamatannya,Alat dan Keselamatan Kerja di Laboratorium,https://www.youtube.com/watch?v=vIZxCjZ5dxA
7,IPA,Klasifikasi Makhluk Hidup,Ciri-ciri Makhluk Hidup,https://www.youtube.com/watch?v=CE7ag-NefZs
7,IPA,Klasifikasi Makhluk Hidup,Dasar Klasifikasi Makhluk Hidup,https://www.youtube.com/watch?v=lTcVGIg-OYY
7,IPA,Klasifikasi Makhluk Hidup,Sistem Klasifikasi Makhluk Hidup,https://www.youtube.com/watch?v=PfoFxjYScX0
7,IPA,Klasifikasi Makhluk Hidup,"Pengenalan Kingdom Monera, Protista, Fungi, Plantae, Animalia",https://www.youtube.com/watch?v=mgplFHgs3nY
7,IPA,Klasifikasi Materi dan Perubahannya,Zat Tunggal dan Campuran,https://www.youtube.com/watch?v=0nl7fAaFxlY
7,IPA,Klasifikasi Materi dan Perubahannya,Ciri-ciri Campuran dan Pemisahan Campuran,https://www.youtube.com/watch?v=cukI_slrRJ0
7,IPA,Klasifikasi Materi dan Perubahannya,Perubahan Fisika dan Perubahan Kimia,https://www.youtube.com/watch?v=SrF81FKhX-E
7,IPA,Suhu dan Perubahannya,Pengertian Suhu dan Alat Ukur Suhu,https://www.youtube.com/watch?v=nsKhINzbUPc
7,IPA,Suhu dan Perubahannya,Skala Suhu,https://www.youtube.com/watch?v=bJDYxkeQuuY
7,IPA,Suhu dan Perubahannya,Perubahan Wujud Benda akibat Suhu,https://www.youtube.com/watch?v=_rukoo9CA5U
7,IPA,Energi dalam Sistem Kehidupan,Bentuk Energi,https://www.youtube.com/watch?v=3snoSFvuuY8
7,IPA,Energi dalam Sistem Kehidupan,Perubahan Energi,https://www.youtube.com/watch?v=nuH1lNBXLRw
7,IPA,Energi dalam Sistem Kehidupan,Sumber Energi dan Pemanfaatannya,https://www.youtube.com/watch?v=ni9fvLu6IKw
7,IPA,Interaksi Makhluk Hidup dengan Lingkungannya,Komponen Ekosistem,https://www.youtube.com/watch?v=D8y1FZXNRfo&pp=ygUSa29tcG9uZW4gZWtvc2lzdGVt
7,IPA,Interaksi Makhluk Hidup dengan Lingkungannya,Rantai Makanan dan Jaring-jaring Makanan,https://www.youtube.com/watch?v=wdNgLUFSJOc
7,IPA,Interaksi Makhluk Hidup dengan Lingkungannya,Aliran Energi,https://www.youtube.com/watch?v=3SUlM3I5Lbg
7,IPA,Interaksi Makhluk Hidup dengan Lingkungannya,Daur Biogeokimia,https://www.youtube.com/watch?v=vQHu01MhHFg&pp=ygUOZGF1ciBiZW9nZWtpbWk%3D
7,IPA,Sistem Organisasi Kehidupan,Tingkatan Organisasi Kehidupan,https://www.youtube.com/watch?v=YO1O7Xz3tvU&pp=ygUeVGluZ2thdGFuIE9yZ2FuaXNhc2kgS2VoaWR1cGFu
7,IPA,Sistem Organisasi Kehidupan,Struktur dan Fungsi Jaringan,https://www.youtube.com/watch?v=UGQwHYVGHi8&pp=ygUcU3RydWt0dXIgZGFuIEZ1bmdzaSBKYXJpbmdhbg%3D%3D
7,IPA,Sistem Organisasi Kehidupan,Organ dan Sistem Organ,https://www.youtube.com/watch?v=VzoPfyaJaZQ
7,IPA,Pencemaran Lingkungan,Jenis-jenis Pencemaran,https://www.youtube.com/watch?v=bGdC-H6ws8k&pp=ygUcSkVOSVMyIFBFTkNFTUFSQU4gTElOR0tVTkdBTg%3D%3D
7,IPA,Pencemaran Lingkungan,Dampak Pencemaran,https://www.youtube.com/watch?v=h48hkoR7WoY&pp=ygURREFNUEFLIFBFTkNFTUFSQU4%3D
7,IPA,Pencemaran Lingkungan,Upaya Penanggulangan,https://www.youtube.com/watch?v=HLI2Ek3Pj3w&pp=ygUqVVBBWUEgUEVOQU5HR1VMQU5HQU4gUEVOQ0VNQVJBTiBMSU5HS1VOR0FO
8,IPA,Gerak Benda Dan Makhluk Hidup di Lingkungan Sekitar,Pengertian Gerak,https://www.youtube.com/watch?v=l6e0X2N1rwM&pp=ygUTZ2VyYWsgYmVuZGEga2VsYXMgOA%3D%3D
8,IPA,Gerak Benda Dan Makhluk Hidup di Lingkungan Sekitar,Jenis-Jenis Gerak,https://www.youtube.com/watch?v=YxKNrasx7sQ&pp=ygUZSkVOSVMgZ2VyYWsgYmVuZGEga2VsYXMgOA%3D%3D
8,IPA,Gerak Benda Dan Makhluk Hidup di Lingkungan Sekitar,Gerak pada makhluk hidup,https://www.youtube.com/watch?v=eG7oFRfydvk&pp=ygUZR0VSQUsgUEFEQSBNQUtITFVLIEhJSUZVUA%3D%3D
8,IPA,Usaha Dan Pessawat Sederhana,Pengertian Usaha,https://www.youtube.com/watch?v=GaV3SVbMhL0
8,IPA,Usaha Dan Pessawat Sederhana,Pesawat Sederhana,https://www.youtube.com/watch?v=rey9tDY97Xs
8,IPA,Usaha Dan Pessawat Sederhana,Contoh penerapan dalam kehidupan,https://www.youtube.com/watch?v=rey9tDY97Xs
8,IPA,Struktur dan Fungsi Tumbuhan,Struktur organ tumbuhan,https://www.youtube.com/watch?v=EztxwW0uD9I
8,IPA,Struktur dan Fungsi Tumbuhan,Fungsi Bagian-bagian Tumbuhan,https://www.youtube.com/watch?v=mXMOZcF2mNE&pp=ygUdRnVuZ3NpIEJhZ2lhbi1iYWdpYW4gVHVtYnVoYW4%3D
8,IPA,Struktur dan Fungsi Tumbuhan,Proses Fotosintesis,https://www.youtube.com/watch?v=jUAj6LIprxM&pp=ygUTUHJvc2VzIEZvdG9zaW50ZXNpcw%3D%3D
8,IPA,Sistem Pencernaan Manusia,Organ Pencernaan Manusia,https://www.youtube.com/watch?v=RNvWDnCoMwE&pp=ygUZT3JnYW4gUGVuY2VybmFhbiBNYW51c2lhIA%3D%3D
8,IPA,Sistem Pencernaan Manusia,Proses Pencernaan,https://www.youtube.com/watch?v=8gvvB9POcVQ&pp=ygUZT3JnYW4gUGVuY2VybmFhbiBNYW51c2lhIA%3D%3D
8,IPA,Sistem Pencernaan Manusia,Gangguan Sistem Pencernaan,https://www.youtube.com/watch?v=ok0ruwLooTU&pp=ygUaR2FuZ2d1YW4gU2lzdGVtIFBlbmNlcm5hYW4%3D
8,IPA,Zat Aditif dan Zat Adiktif,Zat Aditif dalam Makanan,https://www.youtube.com/watch?v=VUdc6MeWbB8&pp=ygUYWmF0IEFkaXRpZiBkYWxhbSBNYWthbmFu0gcJCYYJAYcqIYzv
8,IPA,Zat Aditif dan Zat Adiktif,Zat Adiktif dan Dampaknya,https://www.youtube.com/watch?v=KOpQZMqScEY&pp=ygUZWmF0IEFkaWt0aWYgZGFuIERhbXBha255YQ%3D%3D
8,IPA,Tekanan dalam Kehidupan Sehari-hari,"Tekanan pada Zat Padat,Cair, dan Gas",https://www.youtube.com/watch?v=0im6g1Xw3l4
8,IPA,Tekanan dalam Kehidupan Sehari-hari,Penerapan Tekanan,https://www.youtube.com/watch?v=0im6g1Xw3l4
8,IPA,Sistem Pernapasan Manusia,Organ Pernapasan,https://www.youtube.com/watch?v=9FN_APQmTRk&pp=ygUQT3JnYW4gUGVybmFwYXNhbg%3D%3D
8,IPA,Sistem Pernapasan Manusia,Proses Pernapasan,https://www.youtube.com/watch?v=pUO8nqd-U84&pp=ygURUHJvc2VzIFBlcm5hcGFzYW4%3D
8,IPA,Sistem Pernapasan Manusia,Gangguan Pernapasan,https://www.youtube.com/watch?v=3HRDOa8jomA&pp=ygUXR2FuZ2d1YW4gUGVybmFwYXNhbiBzbXA%3D
8,IPA,Sistem Ekskresi pada Manusia,Organ Ekresi,https://www.youtube.com/watch?v=uWZEm6KghX8
8,IPA,Sistem Ekskresi pada Manusia,Proses dan Fungsi Ekskresi,https://www.youtube.com/watch?v=uWZEm6KghX8
8,IPA,Sistem Ekskresi pada Manusia,Gangguan Sistem Ekskresi,https://www.youtube.com/watch?v=w0BgJVLWF3Y&pp=ygUXR0FOR0dVQU4gU0lTVEVNIEVLU1JFU0k%3D
8,IPA,"Getaran, Gelombang, dan Bunyi",Pengertian Getaran dan Gelombang,https://www.youtube.com/watch?v=x1x71WPgy8I&pp=ygUgUGVuZ2VydGlhbiBHZXRhcmFuIGRhbiBHZWxvbWJhbmc%3D
8,IPA,"Getaran, Gelombang, dan Bunyi",Jenis-Jenis Gelombang,https://www.youtube.com/watch?v=7oMnsyLnCSo&pp=ygUVSmVuaXMtSmVuaXMgR2Vsb21iYW5n
8,IPA,"Getaran, Gelombang, dan Bunyi",Sifat Gelombang dan Bunyi,https://www.youtube.com/watch?v=hmOIacMste0&pp=ygUZU2lmYXQgR2Vsb21iYW5nIGRhbiBCdW55aQ%3D%3D
9,IPA,Sistem Reproduksi pada Manusia,Organ Reproduksi Pria dan Wanita,https://www.youtube.com/watch?v=a896ZJGRRE4&pp=ygUgT3JnYW4gUmVwcm9kdWtzaSBQcmlhIGRhbiBXYW5pdGE%3D
9,IPA,Sistem Reproduksi pada Manusia,Proses Reproduksi,https://www.youtube.com/watch?v=ncNlvWEoeNQ&t=123s&pp=ygURUFJPU0VTIFJFUFJPRFVLU0k%3D
9,IPA,Sistem Reproduksi pada Manusia,Penyakitdan Gangguan Reproduksi,https://www.youtube.com/watch?v=H1AWR0hxp6Y&pp=ygUfUGVueWFraXRkYW4gR2FuZ2d1YW4gUmVwcm9kdWtzadIHCQmLCQGHKiGM7w%3D%3D
9,IPA,Pewarisan Sifat,Gen dan Alel,https://www.youtube.com/watch?v=7aQ_vTYEdks&pp=ygUMR2VuIGRhbiBBbGVs
9,IPA,Pewarisan Sifat,Hukum Mendel,https://www.youtube.com/watch?v=Cweg3IxtT5k&pp=ygUMSHVrdW0gTWVuZGVs
9,IPA,Pewarisan Sifat,Pewarisan Sifat pada Manusia,https://www.youtube.com/watch?v=YogvpinZRC4&pp=ygUcUGV3YXJpc2FuIFNpZmF0IHBhZGEgTWFudXNpYQ%3D%3D
9,IPA,Partikel Penyusun Benda dan Perubahanya,Teori Atom,https://www.youtube.com/watch?v=L3c_9IakU3M&pp=ygULVGVvcmkgQXRvbSA%3D
9,IPA,Partikel Penyusun Benda dan Perubahanya,Struktur Atom,https://www.youtube.com/watch?v=pD3wmt9b7Cs&pp=ygUNU3RydWt0dXIgQXRvbQ%3D%3D
9,IPA,Partikel Penyusun Benda dan Perubahanya,Sistem Periodik Unsur,https://www.youtube.com/watch?v=r1PDhmHqIYY&pp=ygUdU2lzdGVtIFBlcmlvZGlrIFVuc3VyIEtFTEFTIDk%3D
9,IPA,Listrik Statis dan Dinamis,Listrik Statis,https://www.youtube.com/watch?v=H65ZcxYMSzg&pp=ygUOTGlzdHJpayBTdGF0aXM%3D
9,IPA,Listrik Statis dan Dinamis,Listrik Dinamis,https://www.youtube.com/watch?v=V-nF0cqmjgk&pp=ygUQTGlzdHJpayBEaW5hbWlzIA%3D%3D
9,IPA,Listrik Statis dan Dinamis,Rangkaian Listrik,https://www.youtube.com/watch?v=HPVWZtUIuos&pp=ygURUmFuZ2thaWFuIExpc3RyaWs%3D
9,IPA,Kemagnetan dan Pemanfaatanya,Sifat-sifat Magnet,https://www.youtube.com/watch?v=txOePkQ8kFs&pp=ygUSU2lmYXQtc2lmYXQgTWFnbmV0
9,IPA,Kemagnetan dan Pemanfaatanya,Medan Magnet,https://www.youtube.com/watch?v=f4N9Lp41IAg&pp=ygUUbWVkYW4gbWFnbmV0IGtlbGFzIDk%3D
9,IPA,Kemagnetan dan Pemanfaatanya,Pembuatan dan Penggunaan Magnet,https://www.youtube.com/watch?v=Cp-46PzT-4g&pp=ygUgUGVtYnVhdGFuIGRhbiBQZW5nZ3VuYWFuIE1hZ25ldCA%3D
9,IPA,Tata Surya,Anggota Tata Surya,https://www.youtube.com/watch?v=oDMWK9MGJH0&pp=ygUSQW5nZ290YSBUYXRhIFN1cnlh
9,IPA,Tata Surya,Pergerakan Bumi dan Bulan,https://www.youtube.com/watch?v=1yIOJkCjHTk&pp=ygUZUGVyZ2VyYWthbiBCdW1pIGRhbiBCdWxhbg%3D%3D
9,IPA,Tata Surya,Gerhana dan Pasang Surut,https://www.youtube.com/watch?v=-4JTm5837YI&pp=ygUZR2VyaGFuYSBkYW4gUGFzYW5nIFN1cnV0IA%3D%3D
9,IPA,Tanah dan Keberlangsungan Kehidupan,Proses Pembentukan Tanah,https://www.youtube.com/watch?v=5OqFIIplqgo&pp=ygUZUHJvc2VzIFBlbWJlbnR1a2FuIFRhbmFoIA%3D%3D
9,IPA,Tanah dan Keberlangsungan Kehidupan,Jenis-jenis Tanah,https://www.youtube.com/watch?v=dzHk1fvag18&pp=ygUSSmVuaXMtamVuaXMgVGFuYWgg0gcJCYsJAYcqIYzv
9,IPA,Tanah dan Keberlangsungan Kehidupan,Pelestarian Tanah,https://www.youtube.com/watch?v=jou2YyJOMxo&pp=ygUSUGVsZXN0YXJpYW4gVGFuYWgg
9,IPA,Perkembangan Ilmu Pengetahuan dan Teknologi,Dampak Iptek dalam Kehidupan,https://www.youtube.com/watch?v=iYpWUSByL8w&pp=ygUcRGFtcGFrIElwdGVrIGRhbGFtIEtlaGlkdXBhbg%3D%3D
9,IPA,Perkembangan Ilmu Pengetahuan dan Teknologi,Teknologi Ramah Lingkungan,https://www.youtube.com/watch?v=EX7yKI6bL9g&pp=ygUbVGVrbm9sb2dpIFJhbWFoIExpbmdrdW5nYW4g
10,Fisika,Pengukuran,Besaran dan Satuan,https://www.youtube.com/watch?v=gktHsmDjQEM&list=PLovW1TU0Q47yMBBQKezzFp8i5r8DNLs5H
10,Fisika,Pengukuran,Alat Ukur dan Ketelitian,https://www.youtube.com/watch?v=KPEO3G0XNKs&pp=ygUYQWxhdCBVa3VyIGRhbiBLZXRlbGl0aWFu
10,Fisika,Pengukuran,Kesalahan Pengukuran,https://www.youtube.com/watch?v=6ZioD1WwRuc&list=PLog6_k-sWUcCE-yz5dTxLl8jG2xKSRZ5t
10,Fisika,Gerak Lurus,"Konsep Gerak, Jarak & Perpindahan",https://www.youtube.com/watch?v=ZfdGlH9_jaM&pp=ygUhS29uc2VwIEdlcmFrLCBKYXJhayAmIFBlcnBpbmRhaGFu
10,Fisika,Gerak Lurus,Kecepatan & Kelajuan,https://www.youtube.com/watch?v=UhxxILcof6Y&pp=ygUUS2VjZXBhdGFuICYgS2VsYWp1YW4%3D
10,Fisika,Gerak Lurus,Percepatan,https://www.youtube.com/watch?v=8OnGf30Sv_4&pp=ygUKUGVyY2VwYXRhbg%3D%3D
10,Fisika,Gerak Lurus,Grafik GLB & GLBB,https://www.youtube.com/watch?v=NqtMG00Vxoo&pp=ygURR3JhZmlrIEdMQiAmIEdMQkLSBwkJiwkBhyohjO8%3D
10,Fisika,Gerak Parabola dan Melingkar,Gerak Vertikal,https://www.youtube.com/watch?v=WjK8oaTNng0&pp=ygUOR2VyYWsgVmVydGlrYWzSBwkJiwkBhyohjO8%3D
10,Fisika,Gerak Parabola dan Melingkar,Gerak Parabola,https://www.youtube.com/watch?v=mk1j0qqhT7E&pp=ygUOR2VyYWsgUGFyYWJvbGE%3D
10,Fisika,Gerak Parabola dan Melingkar,Gerak Melingkar Beraturan,https://www.youtube.com/watch?v=Lh0j2yztNWc&pp=ygUZR2VyYWsgTWVsaW5na2FyIEJlcmF0dXJhbg%3D%3D
10,Fisika,Hukum Newton,"Hukum Newton I, II, III",https://www.youtube.com/watch?v=RKQ4LDHV6KM&pp=ygUXSHVrdW0gTmV3dG9uIEksIElJLCBJSUk%3D
10,Fisika,Hukum Newton,Penerapan Hukum Newton,https://www.youtube.com/watch?v=XS2BuADtuPY&pp=ygUWUGVuZXJhcGFuIEh1a3VtIE5ld3Rvbg%3D%3D
10,Fisika,Usaha dan Energi,Definisi Usaha & Energi,https://www.youtube.com/watch?v=fKE_dXrypOs&pp=ygUXRGVmaW5pc2kgVXNhaGEgJiBFbmVyZ2k%3D
10,Fisika,Usaha dan Energi,Energi Potensial & Kinetik,https://www.youtube.com/watch?v=TQaiL0u-R5Q&pp=ygUaRW5lcmdpIFBvdGVuc2lhbCAmIEtpbmV0aWs%3D
10,Fisika,Usaha dan Energi,Hukum Kekekalan Energi Mekanik,https://www.youtube.com/watch?v=RfmtqxygTY4&pp=ygUeSHVrdW0gS2VrZWthbGFuIEVuZXJnaSBNZWthbmlr
10,Fisika,Momentum dan Impuls,Momentum,https://www.youtube.com/watch?v=l6SVStydZT4&pp=ygUITW9tZW50dW0%3D
10,Fisika,Momentum dan Impuls,Impuls,https://www.youtube.com/watch?v=l6SVStydZT4&pp=ygUITW9tZW50dW0%3D
10,Fisika,Momentum dan Impuls,Tumbukan,https://www.youtube.com/watch?v=kiul14nhIfo&pp=ygUIVHVtYnVrYW4%3D
10,Fisika,Fluida Statis,Tekanan Hidrostatis,https://www.youtube.com/watch?v=MCx4x8qGmkc&pp=ygUTVGVrYW5hbiBIaWRyb3N0YXRpc9IHCQmLCQGHKiGM7w%3D%3D
10,Fisika,Fluida Statis,Hukum Pascal & Archimedes,https://www.youtube.com/watch?v=hqC3yhNnLGs&pp=ygUZSHVrdW0gUGFzY2FsICYgQXJjaGltZWRlcw%3D%3D
11,Fisika,Fluida Dinamis,Debit & Kontinuitas,https://www.youtube.com/watch?v=i94bqmv86jY&pp=ygUTRGViaXQgJiBLb250aW51aXRhcw%3D%3D
